words,links,capital_words,spam_word_count,is_spam
134,4,15,7,1
285,0,1,0,0
328,1,2,1,0
106,0,3,0,0
147,4,2,4,1
288,0,3,1,0
408,2,21,0,1
25,5,2,1,0
66,0,0,1,0
723,6,18,3,1
874,6,25,4,1
694,1,29,5,1
402,2,3,2,0
552,4,23,9,1
75,0,2,10,1
458,7,16,8,1
402,1,1,1,0
371,4,7,6,1
134,5,1,0,0
272,1,2,1,0
115,1,5,0,0
63,1,2,0,0
168,4,6,0,1
144,8,27,10,1
412,9,22,10,1
166,2,5,4,1
161,3,3,0,0
110,6,10,8,1
828,4,17,1,1
195,9,0,8,1
426,1,3,1,0
453,1,0,1,0
126,0,13,10,1
177,0,3,4,0
287,1,8,2,0
230,2,1,1,0
245,0,1,2,0
346,0,2,9,1
470,1,3,1,0
181,2,2,0,0
228,1,1,1,0
113,0,3,2,0
153,1,2,0,0
124,4,1,5,1
503,10,13,3,1
465,4,12,4,1
220,2,2,1,0
170,2,9,2,0
62,7,21,7,1
162,9,21,4,1
161,0,1,2,0
130,8,10,3,1
506,10,9,10,1
100,3,27,10,1
172,3,2,2,0
45,0,0,5,0
288,5,0,1,0
78,8,17,2,1
188,2,9,3,0
99,2,16,9,1
476,10,11,8,1
51,0,2,0,0
435,0,1,2,0
142,0,0,2,0
246,2,2,0,0
197,0,3,0,0
166,1,2,4,0
158,2,21,1,1
602,10,16,6,1
211,1,2,2,0
431,9,21,2,1
328,0,12,6,1
275,0,0,3,0
81,2,1,2,0
50,1,3,0,0
459,1,0,2,0
131,1,0,1,0
243,1,1,5,0
354,2,2,1,0
212,5,1,3,0
270,2,5,2,1
183,0,2,0,0
243,1,5,2,0
953,8,14,3,1
51,2,6,3,1
310,0,2,8,1
71,1,24,9,1
127,2,15,7,1
198,4,27,10,1
39,2,1,0,0
180,1,1,2,0
295,1,2,5,0
124,2,29,5,1
258,1,3,1,0
73,1,3,1,0
637,4,7,9,1
228,1,0,2,0
207,0,9,1,0
651,10,1,9,1
198,1,7,3,0
194,3,19,3,1
107,1,0,2,0
101,3,0,1,1
126,1,3,0,0
429,2,1,2,0
924,8,15,10,1
330,1,3,3,1
53,1,3,2,0
55,7,22,10,1
208,2,15,0,1
720,7,8,10,1
129,6,20,1,1
255,10,7,10,1
150,5,3,2,0
76,1,3,2,0
990,4,2,3,1
930,4,13,3,1
165,1,2,1,0
278,0,2,1,0
517,6,6,7,1
891,8,10,3,1
884,4,5,8,1
273,2,0,0,0
371,0,4,6,1
76,3,19,7,1
208,2,1,0,0
125,1,1,0,0
612,7,16,0,1
80,2,3,0,0
505,4,25,6,1
454,2,0,5,0
176,0,7,6,0
660,6,4,7,1
923,2,26,10,1
338,2,1,2,0
296,2,8,1,0
751,5,17,8,1
243,10,23,7,1
91,5,4,4,1
216,2,3,2,0
114,4,6,7,1
229,3,24,6,1
679,7,14,7,1
109,1,2,2,0
576,6,2,5,1
149,1,0,1,0
254,1,0,2,0
633,6,20,6,1
452,10,3,4,1
34,2,1,0,0
132,3,9,9,1
337,1,4,3,1
173,2,3,0,0
296,2,3,1,0
272,0,1,2,0
277,2,1,2,0
52,3,0,2,0
647,2,5,1,1
311,9,29,3,1
122,2,3,2,0
75,0,0,2,0
421,10,9,3,1
237,2,3,6,0
82,3,17,6,1
786,4,6,5,1
39,4,0,1,0
516,9,2,4,1
736,5,29,9,1
56,0,8,1,0
292,0,1,0,0
288,4,0,4,0
105,1,2,0,0
610,1,8,7,1
166,2,1,2,0
103,4,3,7,1
438,8,26,8,1
59,1,0,1,0
183,2,2,5,0
195,1,2,2,0
872,7,11,7,1
93,0,0,4,0
211,1,2,4,0
52,2,2,2,0
242,1,1,2,0
112,3,12,3,1
429,2,2,1,0
357,6,15,7,1
89,4,2,2,0
799,7,28,5,1
314,8,28,2,1
640,5,4,5,1
453,1,7,0,1
317,0,1,1,0
99,10,8,7,1
277,0,1,1,0
153,0,3,1,0
31,2,2,0,0
259,3,15,6,1
324,0,8,3,0
459,7,27,3,1
203,2,3,1,0
988,8,16,2,1
247,2,4,5,0
214,1,2,3,0
782,6,6,8,1
635,2,9,6,1
140,1,2,2,0
233,3,26,5,1
189,1,2,1,0
390,7,26,5,1
559,4,19,4,1
958,2,19,4,1
102,2,0,0,0
106,1,0,0,0
333,4,3,3,1
647,7,22,9,1
652,2,9,6,1
280,0,2,6,0
220,1,3,0,0
174,0,4,2,0
698,8,14,0,1
475,4,15,8,1
289,0,2,3,0
640,9,15,8,1
226,2,2,0,0
288,5,1,2,0
413,1,6,1,0
274,4,23,4,1
168,1,0,1,0
103,3,23,4,1
303,4,0,1,0
346,1,4,5,0
142,9,8,8,1
385,4,2,6,1
244,2,0,1,0
418,1,1,2,0
814,7,7,7,1
149,2,8,0,0
361,9,25,9,1
151,1,0,6,0
881,2,15,6,1
127,5,23,10,1
293,10,19,2,1
473,1,0,2,0
228,0,1,2,0
724,5,3,5,1
297,5,2,0,0
264,1,4,1,0
846,0,4,4,1
226,0,0,4,0
270,2,2,2,0
527,4,20,9,1
753,8,11,8,1
818,4,7,5,1
154,2,3,5,0
137,1,3,0,0
717,1,2,2,1
811,8,27,10,1
173,2,1,5,0
108,4,3,0,0
118,2,6,8,1
136,6,18,4,1
291,0,3,0,0
128,2,3,1,0
304,1,6,2,0
498,3,10,4,1
528,7,5,8,1
29,2,3,5,0
245,0,0,0,0
44,0,0,6,0
860,3,23,5,1
137,10,2,2,1
26,1,3,0,0
206,4,20,6,1
984,4,17,9,1
670,2,13,10,1
120,2,21,3,1
406,0,1,0,0
246,4,1,0,0
163,3,1,4,0
414,8,11,10,1
170,2,16,5,1
60,0,9,4,0
142,0,2,0,0
620,6,8,0,1
714,2,16,9,1
211,4,1,0,0
103,0,0,1,0
471,2,9,6,1
422,7,2,7,1
83,0,3,2,0
189,5,5,7,1
94,1,2,0,0
228,1,0,0,0
133,2,1,0,1
608,4,29,2,1
908,2,27,9,1
420,3,20,1,1
206,0,0,0,0
118,1,7,0,0
174,2,2,3,0
926,3,22,5,1
936,3,29,4,1
897,7,4,10,1
174,0,3,6,0
132,0,0,1,0
192,9,5,10,1
57,0,1,1,0
336,4,2,0,0
121,0,17,4,1
107,6,24,0,1
28,0,1,0,0
125,3,26,2,1
169,1,0,6,0
210,2,3,4,0
638,9,1,6,1
192,0,17,7,1
401,4,20,7,1
943,7,30,4,1
865,5,7,3,1
360,2,1,5,0
214,5,29,4,1
688,8,6,1,1
239,2,0,0,0
602,10,30,5,1
691,3,26,3,1
948,8,2,8,1
282,1,0,0,0
879,0,5,3,1
125,4,6,10,1
182,4,17,0,1
119,0,27,7,1
431,1,18,10,1
375,5,24,1,1
242,1,0,0,0
456,7,24,9,1
344,1,0,0,0
802,10,30,8,1
31,5,1,6,0
581,4,0,1,1
119,5,23,1,1
42,2,3,2,0
368,1,13,4,1
827,1,26,10,1
633,2,19,8,1
207,2,9,2,0
191,6,10,9,1
111,2,7,3,1
193,7,18,1,1
55,0,6,2,0
232,6,29,9,1
259,4,0,1,0
218,1,3,3,0
125,2,0,2,0
415,5,3,1,0
938,9,6,3,1
638,6,21,1,1
682,4,16,3,1
649,9,5,9,1
489,6,15,6,1
145,2,7,2,0
502,6,4,5,1
67,5,2,2,0
170,5,21,6,1
237,1,3,2,0
158,10,26,4,1
246,5,9,3,1
405,5,4,9,1
875,3,30,8,1
269,2,0,5,0
429,0,3,2,0
904,3,5,2,1
243,4,14,3,1
438,4,1,0,0
865,2,14,4,1
96,2,0,1,0
662,5,6,7,1
363,1,2,0,0
92,1,3,1,0
591,9,7,4,1
21,1,7,3,0
271,4,1,0,0
217,7,23,7,1
137,4,2,0,0
76,0,7,6,0
244,2,0,0,0
280,0,7,0,0
696,6,7,4,1
322,0,2,4,0
283,2,0,3,0
269,0,1,2,0
569,7,10,5,1
965,10,10,8,1
165,1,1,2,0
256,2,3,1,0
60,1,3,0,0
228,2,8,6,0
937,4,8,4,1
626,7,4,4,1
106,10,11,10,1
306,1,6,0,0
363,5,11,5,1
291,3,0,6,0
53,3,8,4,1
122,4,0,4,0
182,2,9,10,1
91,2,2,2,0
197,5,0,5,0
45,0,4,1,0
532,9,15,10,1
151,1,3,6,0
391,2,2,6,0
168,2,1,4,0
473,10,11,4,1
71,5,2,1,0
807,7,3,7,1
263,2,3,0,0
131,7,20,10,1
198,2,2,0,0
244,2,0,6,0
310,9,16,1,1
74,3,12,4,1
195,2,0,0,0
74,1,1,0,0
78,1,3,1,0
962,2,19,8,1
454,4,15,2,1
382,1,14,0,1
128,2,1,3,1
199,2,2,1,0
355,5,13,4,1
248,0,5,4,0
254,5,3,2,0
448,2,10,4,0
107,0,1,2,0
60,6,7,8,1
137,3,5,8,1
216,7,23,10,1
911,3,18,8,1
979,5,1,7,1
80,9,8,8,1
92,1,7,0,0
145,1,3,2,0
339,2,1,2,0
281,1,1,0,0
121,3,3,5,1
275,2,2,2,0
238,1,2,1,0
182,1,1,1,0
211,0,18,0,1
89,4,26,4,1
198,9,6,10,1
288,2,2,2,0
45,0,2,2,0
126,2,1,2,0
196,0,3,4,0
233,0,3,2,0
73,8,11,9,1
415,3,19,9,1
547,3,2,3,1
735,7,16,2,1
260,2,10,2,0
458,9,16,5,1
218,2,5,0,0
715,2,14,7,1
237,1,1,1,0
898,10,25,3,1
173,9,11,1,1
93,1,5,1,0
195,1,0,0,0
79,0,2,0,0
279,2,3,5,1
242,2,3,0,0
249,0,2,4,0
92,0,4,5,1
176,1,6,2,0
325,9,11,5,1
226,0,25,8,1
205,1,2,0,0
218,1,3,2,0
132,2,2,0,0
429,9,27,9,1
160,3,2,9,1
130,3,13,5,1
526,8,23,9,1
119,1,0,3,0
51,2,24,3,1
291,9,22,6,1
114,7,5,7,1
589,8,20,6,1
322,9,22,9,1
840,1,16,5,1
134,9,2,8,1
499,2,19,4,1
694,5,11,1,1
350,7,22,7,1
913,8,3,8,1
622,5,1,7,1
134,8,21,1,1
131,0,10,4,1
344,8,14,4,1
470,1,18,9,1
96,2,3,2,0
72,2,1,2,0
166,9,29,7,1
178,0,0,1,0
219,1,8,0,0
274,0,19,6,1
926,0,20,8,1
541,7,1,3,1
513,4,4,1,1
689,10,27,9,1
418,1,21,6,1
528,2,12,0,1
146,1,2,0,0
272,5,20,5,1
529,5,9,7,1
414,4,13,10,1
426,0,2,1,0
281,2,7,2,0
694,3,23,5,1
243,2,2,2,0
878,5,4,5,1
262,2,3,2,0
79,2,8,5,0
69,0,3,1,0
825,3,22,10,1
294,2,3,0,0
256,1,3,1,0
192,3,13,5,1
341,6,28,6,1
252,0,0,1,0
788,1,29,5,1
891,9,28,0,1
174,0,24,4,1
66,0,1,0,0
284,1,3,2,0
694,7,25,10,1
150,0,1,1,0
145,0,16,3,1
110,1,2,0,0
56,0,2,1,0
149,3,5,10,1
316,8,22,4,1
62,10,1,9,1
146,4,0,6,0
92,6,11,10,1
119,0,2,0,0
213,2,1,1,0
46,1,2,0,0
291,1,3,1,0
89,2,1,0,0
465,6,12,6,1
571,10,16,4,1
364,10,11,1,1
162,4,1,4,0
704,5,30,2,1
383,0,3,1,0
386,10,26,2,1
877,9,20,5,1
80,3,13,6,1
393,7,20,4,1
863,2,22,10,1
959,2,30,6,1
98,2,0,2,0
86,0,5,0,0
602,8,28,6,1
31,0,3,1,0
183,5,23,0,1
71,2,2,1,0
218,1,2,2,0
598,9,20,6,1
47,2,0,2,0
218,1,1,1,0
604,5,23,8,1
145,1,3,0,0
247,2,3,2,0
130,0,1,2,0
120,0,2,0,0
125,5,28,5,1
39,1,2,0,0
297,2,13,7,1
629,4,8,3,1
289,0,0,0,0
170,0,2,1,0
242,0,3,0,0
59,0,20,7,1
129,9,5,3,1
751,6,1,9,1
579,3,9,7,1
481,10,22,6,1
56,4,30,8,1
350,6,1,7,1
862,3,5,5,1
29,0,2,0,0
75,3,0,1,0
204,2,3,0,0
442,3,28,10,1
532,4,26,3,1
194,2,0,5,0
317,0,5,0,0
487,2,0,0,0
645,6,3,8,1
615,9,12,4,1
206,1,0,1,0
155,0,7,0,0
190,9,18,8,1
647,5,17,10,1
140,0,2,1,0
333,7,14,7,1
300,1,3,0,0
155,2,8,1,0
199,2,0,4,1
269,3,0,2,0
197,0,2,0,0
119,2,10,1,0
102,6,19,7,1
103,4,0,2,0
83,3,0,0,0
501,2,9,8,1
238,1,0,0,0
138,0,3,2,0
20,1,2,2,0
202,1,1,1,0
279,2,0,2,0
201,2,16,8,1
192,7,13,4,1
217,8,24,2,1
162,1,1,3,0
174,4,14,8,1
96,7,5,10,1
85,1,3,3,0
311,1,8,5,1
101,1,7,7,1
160,2,2,0,0
229,0,4,1,0
333,2,0,2,0
778,3,10,3,1
254,4,18,9,1
823,4,7,10,1
129,0,3,6,0
146,3,11,4,1
816,0,28,10,1
198,6,19,1,1
345,3,3,1,0
533,4,5,5,1
174,0,2,1,0
171,1,0,5,1
94,0,1,2,0
217,3,18,9,1
275,0,9,1,0
157,0,5,4,0
420,2,20,5,1
222,4,3,2,0
99,0,0,2,0
93,0,3,2,0
703,9,27,3,1
243,1,1,0,0
177,2,3,0,0
172,1,2,4,0
186,5,5,9,1
164,1,3,1,0
106,0,2,1,0
59,1,0,1,0
123,2,6,1,0
162,3,3,5,0
298,0,2,0,0
189,0,3,1,0
308,0,2,2,0
482,2,1,2,0
706,4,6,7,1
142,1,21,0,1
58,3,1,10,1
195,4,3,8,1
962,8,5,5,1
444,7,15,7,1
394,3,4,3,1
638,10,20,2,1
683,7,30,4,1
70,2,3,0,0
248,2,1,2,0
21,0,1,1,0
649,6,2,0,1
892,6,8,6,1
224,2,3,2,0
323,3,25,3,1
223,1,0,5,0
85,8,4,9,1
250,2,0,1,0
62,2,10,1,0
568,4,17,10,1
344,0,3,1,0
836,1,24,8,1
728,2,22,3,1
200,2,1,2,0
168,0,7,10,1
36,3,0,2,0
150,4,16,0,1
155,4,15,10,1
180,3,30,5,1
749,1,4,3,1
515,7,29,2,1
393,5,1,1,0
652,8,3,6,1
176,8,24,1,1
80,0,2,2,0
156,3,11,6,1
595,3,30,6,1
113,4,1,5,0
109,1,3,0,0
858,8,8,4,1
260,8,5,4,1
860,9,13,10,1
909,8,13,7,1
300,10,30,7,1
257,1,1,2,0
232,1,2,2,0
973,9,27,9,1
430,8,18,6,1
38,1,6,1,0
855,4,3,10,1
909,7,5,2,1
116,1,5,0,0
214,2,0,6,0
187,4,28,9,1
177,3,19,4,1
78,2,3,2,0
210,0,10,0,0
54,5,12,7,1
371,3,8,6,0
21,0,1,2,0
363,0,2,0,0
935,5,18,9,1
177,0,1,1,0
117,2,29,9,1
88,4,0,1,0
147,5,0,2,0
355,1,4,6,0
464,7,9,9,1
484,0,28,4,1
263,1,0,2,0
277,3,0,1,0
814,0,7,9,1
145,1,2,0,0
447,1,8,2,0
760,10,9,7,1
343,10,21,9,1
54,2,3,2,0
200,4,0,2,0
138,2,3,7,1
383,4,2,2,0
124,9,7,5,1
142,5,4,10,1
167,0,9,1,0
938,2,6,9,1
546,10,10,3,1
36,2,2,6,0
781,8,22,2,1
83,4,2,0,0
371,0,1,3,1
511,3,26,5,1
458,1,3,9,1
91,0,3,0,0
242,2,2,1,0
195,5,23,2,1
89,1,3,2,0
149,3,30,2,1
54,2,0,0,0
428,9,5,2,1
114,0,0,0,0
284,2,3,1,0
412,6,6,4,1
521,1,5,9,1
885,1,25,4,1
132,0,10,0,0
294,0,2,6,0
927,1,21,5,1
238,3,11,9,1
422,5,1,0,0
247,1,7,6,1
253,1,0,2,0
505,10,3,6,1
153,2,4,0,0
442,0,23,5,1
630,8,27,5,1
543,5,2,5,1
656,9,13,3,1
458,2,2,2,0
417,4,4,8,1
793,3,20,3,1
638,2,25,1,1
289,0,0,0,0
667,1,1,7,1
62,0,3,3,0
82,2,2,1,0
327,2,0,10,1
470,3,22,10,1
159,1,1,1,0
122,1,1,1,0
932,6,7,5,1
255,4,1,4,0
182,1,0,0,0
230,0,1,0,0
158,2,1,2,0
804,10,15,3,1
233,0,0,1,0
744,2,23,0,1
22,2,2,2,0
695,2,0,3,1
275,1,2,2,0
212,2,0,6,0
766,10,11,10,1
182,2,26,10,1
292,2,3,0,0
295,0,1,0,0
230,0,2,5,0
248,2,1,1,0
158,2,4,1,0
224,5,7,0,0
67,2,0,0,0
687,2,23,3,1
495,5,1,5,0
464,2,3,1,0
951,0,14,5,1
405,7,17,8,1
38,1,3,2,0
185,0,3,0,0
36,0,3,2,0
270,1,2,0,0
90,1,3,2,0
109,2,17,6,1
458,5,22,9,1
304,10,12,5,1
51,2,1,0,0
816,7,20,10,1
447,6,21,9,1
208,1,2,0,0
241,1,10,1,0
108,0,1,6,0
164,9,25,6,1
218,1,7,3,0
893,9,6,10,1
278,2,3,0,0
190,3,26,2,1
197,3,3,2,0
404,5,10,1,1
200,2,3,0,0
188,1,7,0,0
283,2,0,1,0
333,2,2,4,0
146,0,3,0,0
149,1,0,0,0
259,1,0,2,0
243,2,0,1,0
126,0,0,1,0
991,5,26,3,1
41,0,3,2,0
794,2,6,9,1
38,1,3,2,0
246,0,1,2,0
164,10,12,9,1
74,0,1,1,0
278,10,11,6,1
289,9,4,10,1
275,0,8,4,0
456,0,5,1,0
425,1,2,0,0
259,10,20,7,1
749,8,26,9,1
261,1,2,2,0
163,0,7,1,0
125,1,0,0,0
376,0,7,5,1
258,5,9,2,0
910,8,4,1,1
191,6,19,8,1
395,4,6,10,1
110,3,0,2,0
171,1,2,0,0
184,0,1,3,0
176,0,2,0,0
248,4,10,1,0
216,0,8,2,0
701,1,23,7,1
188,2,24,8,1
185,0,0,0,0
488,8,20,1,1
175,1,1,0,0
50,2,6,8,1
833,1,19,7,1
919,0,16,8,1
219,1,2,2,0
731,3,13,7,1
138,5,14,0,1
714,10,19,3,1
789,0,14,0,1
395,0,0,3,0
492,10,5,3,1
542,2,12,3,1
349,7,4,1,1
269,2,3,2,0
793,4,1,2,1
58,9,6,4,1
790,9,13,1,1
289,0,0,2,0
203,0,2,6,0
187,4,9,5,1
45,1,1,1,0
250,10,0,4,1
204,2,3,0,0
137,0,3,1,0
554,5,7,6,1
98,0,8,1,0
290,0,3,6,0
390,2,3,6,0
106,0,1,3,0
225,0,3,6,0
161,5,8,6,1
488,2,0,1,0
141,10,29,5,1
206,0,2,2,0
732,2,13,3,1
338,2,2,0,0
92,4,5,2,0
323,9,20,7,1
412,1,2,2,0
735,7,30,1,1
161,5,27,6,1
719,9,2,8,1
748,3,22,3,1
379,2,11,8,1
282,4,26,6,1
202,1,5,3,0
236,2,1,2,0
233,4,8,2,0
510,4,24,9,1
450,1,7,0,0
162,5,23,8,1
258,0,2,2,0
25,4,0,5,0
670,2,16,2,1
706,0,17,6,1
209,1,2,0,0
792,2,18,3,1
816,2,1,2,1
388,7,24,2,1
53,2,0,2,0
791,8,19,8,1
715,9,28,5,1
188,2,1,1,0
252,0,2,4,0
44,0,0,2,0
113,4,0,0,0
196,10,1,8,1
558,6,24,5,1
83,0,3,2,0
196,1,1,2,0
137,2,2,2,0
173,10,22,8,1
138,0,0,2,0
88,1,5,1,0
637,5,8,10,1
126,0,1,2,0
117,2,24,5,1
350,7,13,8,1
106,1,0,2,0
140,5,5,8,1
226,1,6,2,0
283,0,2,0,0
137,2,30,10,1
32,2,1,4,0
508,10,25,5,1
735,10,29,1,1
46,2,1,0,0
119,9,9,10,1
208,0,0,0,0
438,7,5,6,1
611,4,22,4,1
302,6,21,8,1
425,1,0,0,0
65,7,28,10,1
120,1,3,0,0
301,8,23,10,1
699,7,7,6,1
531,3,25,3,1
360,2,27,8,1
233,1,2,0,0
199,0,2,4,0
295,0,3,1,0
195,3,17,6,1
892,9,20,3,1
453,3,1,0,0
262,2,2,2,0
860,5,16,6,1
113,0,2,4,0
126,4,1,7,1
116,5,24,10,1
536,9,5,10,1
94,0,0,0,0
218,2,3,1,0
155,5,9,2,0
123,7,3,3,1
88,5,3,5,0
866,7,5,8,1
986,5,27,5,1
878,2,4,7,1
460,2,9,8,1
153,2,10,5,0
454,2,3,5,0
375,3,23,9,1
948,5,26,1,1
261,6,5,5,1
284,9,26,0,1
192,2,30,7,1
479,1,0,1,0
873,0,17,8,1
239,1,1,2,0
190,4,5,3,1
408,0,24,8,1
165,1,2,0,0
596,1,5,0,1
211,1,2,1,0
79,4,25,6,1
592,7,3,3,1
179,4,13,10,1
593,8,15,3,1
944,3,23,7,1
250,0,2,2,0
278,4,1,3,0
579,9,17,7,1
260,0,3,5,0
118,0,1,5,1
419,1,2,0,0
184,2,4,1,0
96,2,0,0,0
892,5,6,5,1
178,2,18,5,1
47,2,0,2,0
83,4,2,1,0
88,2,27,7,1
850,6,22,10,1
397,1,1,2,0
148,2,0,1,0
380,2,5,2,0
234,1,0,2,0
100,3,21,1,1
233,1,0,1,0
943,10,24,9,1
508,5,24,8,1
200,2,6,0,0
427,2,2,1,0
151,2,3,6,0
81,6,3,2,1
219,0,0,2,0
138,7,30,3,1
133,0,1,1,0
239,4,5,2,1
257,1,8,0,0
421,7,17,5,1
68,1,1,1,0
565,7,15,5,1
898,2,3,7,1
198,0,2,2,0
161,5,5,0,0
721,3,5,0,1
731,10,3,0,1
72,2,19,4,1
560,9,11,0,1
59,2,13,9,1
510,4,21,9,1
558,6,0,10,1
905,5,5,7,1
166,0,1,3,0
897,8,25,2,1
640,2,29,7,1
343,5,0,4,1
706,1,6,4,1
956,9,10,10,1
646,4,25,9,1
296,0,0,5,0
80,2,3,0,0
900,9,6,6,1
716,0,2,6,1
334,5,5,9,1
252,1,2,2,0
254,0,1,1,0
302,2,2,2,0
178,3,20,3,1
186,6,12,4,1
405,0,5,2,1
121,0,0,2,0
44,2,2,0,0
830,5,29,5,1
271,1,0,2,0
260,2,7,1,0
210,10,21,4,1
273,4,6,8,1
643,5,27,6,1
755,10,26,5,1
167,5,3,4,0
326,1,2,0,0
864,9,29,4,1
57,1,2,4,0
100,7,20,5,1
47,3,1,5,0
544,1,15,5,1
25,2,0,2,0
92,0,3,1,0
490,0,1,6,0
55,2,3,2,0
623,8,10,2,1
187,4,18,3,1
57,7,5,1,1
795,5,14,1,1
156,2,2,1,0
39,0,0,1,0
131,5,26,3,1
200,2,2,0,0
351,2,23,0,1
282,1,1,0,0
631,2,30,4,1
622,9,22,7,1
277,1,2,4,0
31,0,3,2,0
92,2,5,1,1
250,1,4,1,0
496,1,0,0,0
490,3,30,1,1
156,1,1,1,0
153,1,1,1,0
289,0,14,6,1
290,4,0,0,0
745,2,5,7,1
199,2,2,0,0
326,1,0,1,0
301,9,6,7,1
52,7,12,7,1
266,1,1,0,0
357,1,3,1,0
282,0,5,6,0
171,3,15,6,1
181,2,12,2,1
714,3,28,6,1
813,9,11,0,1
87,0,0,1,0
397,2,11,1,1
62,1,5,1,0
183,1,23,3,1
779,0,6,2,1
145,2,3,0,0
122,5,3,3,1
425,0,2,1,0
496,4,4,0,1
446,0,2,0,0
202,2,2,0,0
232,10,26,3,1
963,5,24,1,1
294,5,2,1,0
92,0,3,0,0
252,2,1,1,0
96,2,0,5,0
138,5,2,1,0
706,6,7,4,1
131,5,10,2,1
48,1,0,0,0
540,7,28,10,1
400,3,22,10,1
355,1,15,5,1
195,2,1,1,0
49,1,2,1,0
484,2,1,3,0
188,1,3,0,0
791,9,27,6,1
129,3,14,3,1
142,5,4,2,1
842,2,23,0,1
269,2,1,0,0
785,4,22,6,1
110,9,12,0,1
25,2,3,1,0
111,0,3,3,0
164,7,10,6,1
481,7,6,4,1
478,0,9,9,1
187,5,23,10,1
119,8,24,8,1
889,9,11,6,1
372,9,21,5,1
124,2,0,8,1
270,2,2,4,0
250,2,3,6,0
497,3,5,7,1
273,2,3,1,0
245,4,8,1,0
108,1,2,0,0
26,4,1,1,0
985,3,10,3,1
96,1,0,2,0
218,0,1,6,1
333,10,7,10,1
125,8,28,4,1
77,7,4,1,1
273,0,0,2,0
253,2,0,0,0
356,2,1,8,1
306,5,8,0,0
906,7,6,1,1
270,1,3,4,0
193,2,0,8,1
113,10,9,6,1
212,4,1,10,1
179,9,29,3,1
199,2,2,0,0
26,2,1,1,0
275,1,1,6,0
141,6,1,0,1
416,3,5,8,1
555,2,17,3,1
457,6,26,10,1
49,2,3,2,0
54,1,3,3,0
122,2,2,2,0
37,1,2,2,0
239,1,3,6,0
659,1,13,5,1
62,1,1,0,0
657,5,28,3,1
296,0,1,1,0
637,8,26,10,1
574,9,1,5,1
274,0,1,1,0
202,2,3,0,0
533,2,5,4,1
888,8,5,6,1
181,7,30,6,1
846,2,23,1,1
224,1,1,3,0
429,1,3,4,0
